Date Time, pm2.5 sensor is On, Temperature, Humidity, tVOC, CO2e, CPU Frequency, CPU usage, Light, Charging, Electricity, Capacity, Wi-Fi Status
2017-04-26-22-50-23, Off, 0.00, 0, 0, 0, 1.008G, 13.3, 66, Charging, 2.08807e+08, 100, On
2017-04-26-22-50-24, Off, 0.00, 0, 0, 0, 1.008G, 6.7, 66, Charging, 2.08807e+08, 100, On
2017-04-26-22-50-25, Off, 28.00, 32, 0.004, 480, 1.008G, 0, 66, Charging, 2.08807e+08, 100, On
2017-04-26-22-50-26, Off, 28.00, 32, 0, 510, 1.008G, 6.7, 66, Charging, 2.08807e+08, 100, On
2017-04-26-22-50-27, Off, 27.00, 32, 0, 630, 1.008G, 6.2, 66, Charging, 2.08807e+08, 100, On
2017-04-26-22-50-28, Off, 27.00, 32, 0, 800, 1.008G, 6.7, 66, Charging, 2.08807e+08, 100, On
2017-04-26-22-50-29, Off, 27.00, 32, 0, 740, 1.008G, 0, 66, Charging, 2.08807e+08, 100, On
2017-04-26-22-50-30, Off, 27.00, 32, 0, 720, 1.008G, 0, 66, Charging, 2.08807e+08, 100, On
2017-04-26-22-50-31, Off, 26.00, 33, 0, 830, 1.008G, 0, 66, Charging, 2.08807e+08, 100, On
2017-04-26-22-50-32, Off, 26.00, 34, 0, 850, 1.008G, 6.7, 66, Charging, 2.08807e+08, 100, On
2017-04-26-22-50-33, Off, 26.00, 35, 0, 890, 1.008G, 6.7, 66, Charging, 2.08807e+08, 100, On
2017-04-26-22-50-34, Off, 26.00, 35, 0, 980, 1.008G, 6.7, 66, Charging, 2.08807e+08, 100, On
2017-04-26-22-50-35, Off, 27.00, 35, 0, 1204, 1.008G, 6.7, 66, Charging, 2.08807e+08, 100, On
2017-04-26-22-50-36, Off, 27.00, 35, 0, 1474, 1.008G, 0, 66, Charging, 2.08807e+08, 100, On
2017-04-26-22-50-37, Off, 26.00, 35, 0, 1567, 1.008G, 6.7, 66, Charging, 2.08807e+08, 100, On
2017-04-26-22-50-38, Off, 26.00, 35, 0, 1890, 1.008G, 13.3, 66, Charging, 2.08807e+08, 100, On
2017-04-26-22-50-39, Off, 26.00, 37, 0, 1940, 1.008G, 0, 66, Charging, 2.08807e+08, 100, On
2017-04-26-22-50-40, Off, 26.00, 37, 0, 2032, 1.008G, 6.7, 66, Charging, 2.08807e+08, 100, On
