Date Time, pm2.5 sensor is On, Temperature, Humidity, Baseline, tVOC, CO2e, CPU Frequency, CPU Usage, Light, Charging, Electricity, Capacity (%), Wi-Fi Status
2017-04-27-11-18-36, Off, 0.00, 0, 0x, 0, 0, 1.008G, 6.2, 66, Charging, 1.33521e-08, 100, Disconnect
2017-04-27-11-18-37, Off, 0.00, 0, 0x, 0, 0, 1.008G, 6.2, 66, Charging, 1.33521e-08, 100, Disconnect
2017-04-27-11-18-38, Off, 0.00, 0, 0x, 0, 0, 1.008G, 0, 66, Charging, 1.33521e-08, 100, Disconnect
2017-04-27-11-18-39, Off, 28.00, 32, 0x, 3.01, 480, 1.008G, 0, 66, Charging, 1.33521e-08, 100, Disconnect
2017-04-27-11-18-40, Off, 28.00, 32, 0x, 0.08, 510, 1.008G, 0, 66, Charging, 1.33521e-08, 100, Disconnect
2017-04-27-11-18-41, Off, 27.00, 32, 0x, 0.07, 630, 1.008G, 0, 66, Charging, 1.33521e-08, 100, Disconnect
2017-04-27-11-18-42, Off, 27.00, 32, 0x, 0.09, 800, 1.008G, 0, 66, Charging, 1.33521e-08, 100, Disconnect
2017-04-27-11-18-43, Off, 27.00, 32, 0x, 0.11, 740, 1.008G, 0, 66, Charging, 1.33521e-08, 100, Disconnect
2017-04-27-11-18-44, Off, 27.00, 32, 0x, 0.12, 720, 1.008G, 0, 66, Charging, 1.33521e-08, 100, Disconnect
2017-04-27-11-18-45, Off, 26.00, 33, 0x, 0.13, 830, 1.008G, 0, 66, Charging, 1.33521e-08, 100, Disconnect
2017-04-27-11-18-46, Off, 26.00, 34, 0x, 0.15, 850, 1.008G, 0, 66, Charging, 1.33521e-08, 100, Disconnect
2017-04-27-11-18-47, Off, 26.00, 35, 0x, 0.2, 890, 1.008G, 0, 66, Charging, 1.33521e-08, 100, Disconnect
2017-04-27-11-18-48, Off, 26.00, 35, 0x, 0.21, 980, 1.008G, 0, 66, Charging, 1.33521e-08, 100, Disconnect
2017-04-27-11-18-49, Off, 27.00, 35, 0x, 0.23, 1204, 1.008G, 0, 66, Charging, 1.33521e-08, 100, Disconnect
2017-04-27-11-18-50, Off, 27.00, 35, 0x, 0.28, 1474, 1.008G, 0, 66, Charging, 1.33521e-08, 100, Disconnect
2017-04-27-11-18-51, Off, 26.00, 35, 0x, 0.27, 1567, 1.008G, 6.2, 66, Charging, 1.33521e-08, 100, Disconnect
2017-04-27-11-18-52, Off, 26.00, 35, 0x, 0.3, 1890, 1.008G, 0, 66, Charging, 1.33521e-08, 100, Disconnect
2017-04-27-11-18-53, Off, 26.00, 37, 0x, 0.31, 1940, 1.008G, 0, 66, Charging, 1.33521e-08, 100, Disconnect
2017-04-27-11-18-54, Off, 26.00, 37, 0x, 0.32, 2032, 1.008G, 0, 66, Charging, 1.33521e-08, 100, Disconnect
